id,citation_class,runs_agreed,rationale
SOC-004,indirect,na,"StatCan cited but file states Fraser Institute owns the headline figure; StatCan secondary"
LAB-002,indirect,na,"Figures from WealthNorth/Indeed; StatCan only a bare domain with no table"
LAB-003,direct,na,"SEPH table 14-10-0222-01 and The Daily cited for the figures"
SOC-001,direct,na,"Recorded as direct StatCan citation"
SOC-002,direct,na,"Figure sourced to StatCan The Daily release 250623b"
SOC-024,direct,na,"Two StatCan sources cited for the figures"
DIG-014,direct,na,"Two StatCan Analysis-in-Brief releases cited"
LAB-014,direct,na,"StatCan LFS cited among sources of figures, alongside TBS and The Hub; mixed case"
SOC-010,direct,na,"Two StatCan sources lead; OECD/Environics/Edelman supplementary"
SOC-016,direct,na,"Four StatCan sources including a Census release"
SOC-005,direct,na,"Four StatCan sources including table 45-10-0048-01"
HEA-001,direct,yes,"Direct 3/3; StatCan figures with CAMH/CIHI mixed in"
HEA-002,direct,yes,"Direct 3/3; StatCan Daily plus PHAC"
HEA-016,indirect,yes,"Indirect 3/3; leads with OurCare/CMA 81%, CIHI; StatCan CCHS only as alternative"
HEA-017,indirect,yes,"Indirect 3/3; figures attributed to OurCare/CMA survey"
HEA-019,direct,yes,"Direct 3/3; StatCan tables including 13-10-0836-01"
HEA-024,direct,yes,"Direct 3/3; StatCan table 13-10-0651-01"
HEA-025,direct,yes,"Direct 3/3; StatCan HALE by income quintile, 61.9 vs 70.0, cited to The Daily"
