id,run,searched,citation_class,rationale
SOC-004,1,yes,direct,"Leads with 21.9%-to-16.8% donor share credited to StatCan Daily 'Charitable donors, 2023'; think tanks are secondary."
SOC-004,2,yes,direct,"Donor-share and income-share figures sourced to StatCan Daily releases listed first; Hill/Imagine/Fraser secondary."
SOC-004,3,yes,indirect,"Same StatCan-origin figures but source list leads with Fraser Institute, Hill Strategies, BNN; StatCan fourth."
LAB-002,1,yes,none,"Explicitly declines to quote any dollar figures per age band; only points to StatCan tables."
LAB-002,2,yes,direct,"Gives median income by age band explicitly 'Using Statistics Canada's income-of-individuals table'."
LAB-002,3,yes,direct,"Dollar figures attributed to 'Statistics Canada income data and secondary compilations'; StatCan tables lead sources, Indeed/WealthNorth trail."
LAB-003,1,yes,direct,"$1,333/week and provincial figures credited to StatCan SEPH Table 14-10-0203-01; Trading Economics secondary."
LAB-003,2,yes,direct,"Full provincial weekly-earnings table attributed to StatCan SEPH payroll data, October 2025 Daily."
LAB-003,3,yes,direct,"National and provincial earnings credited to StatCan SEPH and Table 14-10-0203-01; Trading Economics secondary."
SOC-001,1,yes,direct,"Volunteer hours and rates from StatCan 2023 Survey on Giving, Volunteering and Participating, StatCan sources first."
SOC-001,2,yes,direct,"Formal/informal volunteering rates and hours sourced to StatCan Daily release on 2018-2023 giving."
SOC-001,3,yes,direct,"All rates and hour counts cited to StatCan Daily, 23 June 2025, plus StatsCAN Plus."
SOC-002,1,yes,direct,"73% and 32% volunteer rates attributed to StatCan SGVP publications; Imagine Canada listed only third."
SOC-002,2,yes,direct,"32%/66%/73% rates sourced to StatCan Daily 'Volunteering and charitable giving in Canada, 2018 to 2023'."
SOC-002,3,yes,direct,"States explicitly 'Both come from Statistics Canada's 2023 Survey on Giving, Volunteering and Participating'."
SOC-024,1,yes,direct,"3.9 vs 2.4 hours and participation rates credited to StatCan General Social Survey and Time Use Survey."
SOC-024,2,yes,direct,"Satellite-account hours and 2022 Time Use Survey minutes explicitly attributed to Statistics Canada."
SOC-024,3,yes,direct,"Time-use hours and 820-vs-540 annual hours credited to StatCan time-use data; Vanier and CBC secondary."
DIG-014,1,yes,direct,"6.1/12.2/19.2% adoption from StatCan Canadian Survey on Business Conditions; all four sources are StatCan."
DIG-014,2,yes,direct,"Adoption and sector percentages attributed to StatCan analysis publications; every source is statcan.gc.ca."
DIG-014,3,yes,direct,"Explicitly 'Statistics Canada's Canadian Survey on Business Conditions'; all three sources are StatCan URLs."
LAB-014,1,yes,direct,"4.597 million credited to StatCan Labour Force Survey Daily and Table 10-10-0025-01; Fraser secondary."
LAB-014,2,yes,direct,"4.55 million sourced to StatCan Table 14-10-0027-01 and Labour Force Survey Daily releases."
LAB-014,3,yes,direct,"'Statistics Canada Labour Force Survey data put public sector employment at approximately 4.597 million'."
SOC-010,1,yes,direct,"Leads with StatCan Canadian Social Survey 28% confidence in Parliament; OECD figure offered as contrast."
SOC-010,2,yes,direct,"Headline 28% confidence figure from StatCan 2023 confidence survey; OECD 49% presented secondarily."
SOC-010,3,yes,direct,"Leads with StatCan 2023 confidence survey 28% (down from 32%); OECD used as comparison."
SOC-016,1,yes,direct,"34.6% no religion, 53.3% Christian from 2021 Census; StatCan sources lead, CBC last."
SOC-016,2,yes,direct,"Census affiliation and attendance figures credited to StatCan Daily 2021 Census release and Eh Sayers."
SOC-016,3,yes,direct,"2021 Census shares attributed to StatCan Daily release and Religion Reference Guide; CBC secondary."
SOC-005,1,yes,direct,"13% frequent loneliness and age breakdown attributed to StatCan Canadian Social Survey; all sources StatCan."
SOC-005,2,yes,direct,"13%, 17% youth and 27% LGBTQ2+ figures credited to StatCan Canadian Social Survey; all sources StatCan."
SOC-005,3,yes,direct,"Leads with 'per Statistics Canada's Canadian Social Survey'; Angus Reid and CMHA figures added afterwards."
